word,emotion,score
sad,sadness,1
sadness,sadness,1
unhappy,sadness,1
lonely,sadness,1
loneliness,sadness,1
miserable,sadness,1
depressed,sadness,1
hopeless,sadness,1
tired,sadness,1
exhausted,sadness,1
empty,sadness,1
heavy,sadness,1
drained,sadness,1
withdrawn,sadness,1
anxious,fear,1
anxiety,fear,1
afraid,fear,1
scared,fear,1
worried,fear,1
worry,fear,1
nervous,fear,1
panic,fear,1
panicking,fear,1
stressed,fear,1
stress,fear,1
overwhelmed,fear,1
terrified,fear,1
angry,anger,1
anger,anger,1
mad,anger,1
furious,anger,1
annoyed,anger,1
annoying,anger,1
frustrated,anger,1
frustration,anger,1
irritated,anger,1
hate,anger,1
ashamed,sadness,1
shame,sadness,1
guilty,sadness,1
guilt,sadness,1
embarrassed,sadness,1
embarrassment,sadness,1
worthless,sadness,1
useless,sadness,1
happy,joy,1
happiness,joy,1
joyful,joy,1
joyous,joy,1
glad,joy,1
delighted,joy,1
excited,joy,1
excitement,joy,1
grateful,joy,1
thankful,joy,1
proud,joy,1
pleased,joy,1
content,joy,1
hopeful,joy,1
calm,trust,1
peaceful,trust,1
safe,trust,1
trust,trust,1
trusting,trust,1
relief,joy,1
relaxed,trust,1
confused,surprise,1
confusion,surprise,1
surprised,surprise,1
shocked,surprise,1
disgusted,disgust,1
disgust,disgust,1
gross,disgust,1
sick,disgust,1
