word,valence,arousal,dominance
sad,0.05,0.40,0.20
sadness,0.05,0.40,0.20
unhappy,0.10,0.40,0.25
lonely,0.10,0.45,0.25
loneliness,0.10,0.40,0.25
miserable,0.05,0.50,0.20
depressed,0.05,0.30,0.20
hopeless,0.05,0.40,0.10
tired,0.30,0.20,0.30
exhausted,0.20,0.20,0.25
empty,0.20,0.30,0.25
drained,0.20,0.20,0.30
withdrawn,0.25,0.20,0.30
anxious,0.20,0.80,0.20
anxiety,0.20,0.80,0.20
afraid,0.15,0.85,0.20
scared,0.15,0.85,0.20
worried,0.25,0.75,0.30
worry,0.25,0.75,0.30
nervous,0.25,0.75,0.30
panic,0.10,0.95,0.10
panicking,0.10,0.95,0.10
stressed,0.20,0.85,0.25
stress,0.20,0.85,0.25
overwhelmed,0.15,0.85,0.20
terrified,0.10,0.95,0.10
angry,0.15,0.85,0.55
anger,0.15,0.85,0.55
mad,0.20,0.80,0.55
furious,0.10,0.90,0.60
annoyed,0.30,0.65,0.45
frustrated,0.20,0.70,0.40
frustration,0.20,0.70,0.40
irritated,0.30,0.65,0.45
hate,0.10,0.85,0.55
ashamed,0.10,0.55,0.20
shame,0.10,0.55,0.20
guilty,0.15,0.55,0.25
guilt,0.15,0.55,0.25
embarrassed,0.20,0.65,0.25
worthless,0.05,0.45,0.10
useless,0.10,0.40,0.15
happy,0.95,0.65,0.75
happiness,0.95,0.65,0.75
joyful,0.95,0.70,0.75
glad,0.85,0.55,0.70
delighted,0.95,0.75,0.80
excited,0.90,0.85,0.75
excitement,0.90,0.85,0.75
grateful,0.90,0.55,0.70
thankful,0.90,0.50,0.70
proud,0.90,0.65,0.85
pleased,0.85,0.55,0.70
content,0.85,0.40,0.70
hopeful,0.85,0.60,0.75
calm,0.80,0.20,0.60
peaceful,0.85,0.20,0.65
safe,0.85,0.30,0.70
trust,0.80,0.40,0.70
relief,0.80,0.45,0.65
relaxed,0.85,0.20,0.70
confused,0.30,0.50,0.30
surprised,0.55,0.85,0.45
shocked,0.30,0.90,0.30
disgusted,0.10,0.65,0.40
disgust,0.10,0.65,0.40
gross,0.20,0.55,0.35
